Point group;Identity;Symmetry elements;;;;;;
C1;E;;;;;;;
Cs;E;Sigma_h;;;;;;
Ci;E;i;;;;;;
C2;E;C2;;;;;;
C3;E;C3;;;;;;
C4;E;C4;;;;;;
C5;E;C5;;;;;;
C6;E;C6;;;;;;
C7;E;C7;;;;;;
C8;E;C8;;;;;;
D2;E;C2(z);C2(y);C2(x);;;;
D3;E;C3;3 C2;;;;;
D4;E;C4;2 C2';2 C2'';;;;
D5;E;C5;5 C2;;;;;
D6;E;C6;3 C2';3 C2'';;;;
C2v;E;C2;Sigma(xz);Sigma(yz);;;;
C3v;E;C3;3 Sigma_v;;;;;
C4v;E;C4;2 Sigma_v;2 Sigma_d;;;;
C5v;E;C5;5 Sigma_v;;;;;
C6v;E;C6;3 Sigma_v;3 Sigma_d;;;;
C2h;E;C2;Sigma_h;i;;;;
C3h;E;C3;Sigma_h;;;;;
C4h;E;C4;Sigma_h;i;;;;
C5h;E;C5;Sigma_h;;;;;
C6h;E;C6;Sigma_h;i;;;;
D2h;E;C2(z);C2(y);C2(x);i;Sigma(xy);Sigma(xz);Sigma(yz)
D3h;E;C3;3 C2;Sigma_h;3 Sigma_v;;;
D4h;E;C4;4 C2;Sigma_h;2 Sigma_v;2 Sigma_d;i;
D5h;E;C5;5 C2';Sigma_h;5 Sigma_v;;;
D6h;E;C6;3 C2';3 C2'';Sigma_h;3 Sigma_v;3 Sigma_d;i
D8h;E;C8;4 C2';4 C2'';Sigma_h;4 Sigma_v;4 Sigma_d;i
D2d;E;S4;2 C2';2 Sigma_d;;;;
D3d;E;S6;3 C2';3 Sigma_d;i;;;
D4d;E;S8;4 C2';4 Sigma_d;;;;
D5d;E;S10;5 C2';5 Sigma_d;i;;;
D6d;E;S12;6 C2';6 Sigma_d;;;;
S4;E;S4 ;;;;;;
S6;E;S6;C3;i;;;;
S8;E;S8;C4;;;;;
T;E;4 C3;3 C2;;;;;
Td;E;4 C3;3 C2;6 Sigma_d;;;;
Th;E;4 C3;3 C2;i;3 Sigma_h;;;
O;E;4 C3;6 C2';3 C4;;;;
Oh;E;4 C3;6 C2;3 C4;i;3 Sigma_h;6 Sigma_d;
I;E;6 C5;10 C3;15 C2;;;;
Ih;E;6 C5;10 C3;15 C2;i;15 Sigma;;
Cinfv;E;Cinf;inf Sigma_v;;;;;
Dinfh;E;Cinf;i;inf Sigma_v;Sinf;inf C2';;
